taxon_id,taxon_rank,taxon_name
AEDSP,genus,Aedes sp.
SMISP7,genus,Sminthurus sp.
CULSP4,genus,Culex sp.
PISSP4,genus,Pisidium sp.
LUMSP2,family,Lumbriculidae sp.
GONSP5,genus,Gonomyia sp.
PERSP17,genus,Pericoma sp.
TIPSP3,genus,Tipula sp.
TVESP,genus,Tvetenia sp.
LIMSP31,genus,Limnodrilus sp.
PHASP9,genus,Phaenopsectra sp.
ODOSP,order,Odonata sp.
DIASP8,genus,Diamesa sp.
EUKSP,genus,Eukiefferiella sp.
APESP,genus,Apedilum sp.
HALDEC,species,Haliplus deceptus
PSESP20,genus,Pseudolimnophila sp.
POLSP13,genus,Polypedilum sp.
THISP2,genus,Thienemanniella sp.
ILYSP4,genus,Ilyodrilus sp.
CRISP6,speciesGroup,Cricotopus/Orthocladius sp.
THIGRO,speciesGroup,Thienemannimyia gr.
RHEEXI,speciesGroup,Rheotanytarsus exiguus gr.
ZAVMAR,species,Zavreliella marmorata
FALSP,genus,Fallceon sp.
HYDSP4,family,Hydropsychidae sp.
ILYTEM,species,Ilyodrilus templetoni
PARSP25,genus,Parakiefferiella sp.
LABSP,genus,Labrundinia sp.
STISP2,genus,Stictochironomus sp.
ACTSP5,genus,Actinobdella sp.
ZAVSP,genus,Zavrelimyia sp.
OXYSP,genus,Oxyethira sp.
SPHSP8,genus,Sphaerium sp.
LYMSP,family,Lymnaeidae sp.
COLSP1,order,Collembola sp.
DUBSP,genus,Dubiraphia sp.
HYGSP4,tribe,Hygrotini sp.
LIMHOF,species,Limnodrilus hoffmeisteri
HYASP2,genus,Hyalella sp.
TROSP4,genus,Tropisternus sp.
MICPED,speciesGroup,Microtendipes pedellus gr.
PLASP23,genus,Platambus sp.
PRIAEQ,species,Pristina aequiseta
HYDSP24,genus,Hydroptila sp.
DASSP2,genus,Dasyhelea sp.
PRILEI,species,Pristina leidyi
TIPSP,family,Tipulidae sp.
ODOSP3,genus,Odontomyia sp.
FERSP,genus,Ferrissia sp.
CERSP2,family,Ceratopogonidae sp.
POLTRI2,species,Polypedilum tritum
HYDSP52,genus,Hydrosmittia sp.
PSYSP1,family,Psychodidae sp.
POLSCA,speciesGroup,Polypedilum scalaenum gr.
NOTSP6,genus,Notonecta sp.
ACASP1,subclass,Acari sp.
CHRSP3,family,Chrysomelidae sp.
DERDIG,species,Dero digitata
MICRYD,speciesGroup,Microtendipes rydalensis gr.
TRISP,order,Trichoptera sp.
GYRSP1,genus,Gyraulus sp.
NEMSP4,suborder,Nematocera sp.
LIMSP5,family,Limnephilidae sp.
HEDSP2,speciesGroup,Hedriodiscus/Odontomyia sp.
ORTSP3,genus,Orthocladius sp.
TVEBAV,speciesGroup,Tvetenia bavarica gr.
STASP3,genus,Stagnicola sp.
RHESP1,genus,Rheocricotopus sp.
HELSP8,genus,Helius sp.
SLAAPP,species,Slavina appendiculata
ORTEUO,subgenus,Orthocladius (Euorthocladius) sp.
AGASP1,subfamily,Agabinae sp.
STISP4,genus,Stilobezzia sp.
LIMUDE,species,Limnodrilus udekemianus
CORSP19,genus,Corynoneura sp.
MIDSP2,genus,Mideopsis sp.
AESSP,family,Aeshnidae sp.
CHADIA1,species,Chaetogaster diastrophus
HEMSP1,order,Hemiptera sp.
GERSP1,genus,Gerris sp.
NEOSP39,genus,Neoporus sp.
PLASP16,genus,Placobdella sp.
PROSP37,genus,Prostoma sp.
DIXSP2,genus,Dixella sp.
PLASP2,family,Planorbidae sp.
MUSSP2,genus,Musculium sp.
CAPSP2,family,Capniidae sp.
LAUAGR,species,Lauterborniella agrayloides
RHASP6,genus,Rhantus sp.
PLASP11,genus,Plathemis sp.
GLYSP3,genus,Glyptotendipes sp.
DOLSP,family,Dolichopodidae sp.
PHRSP,family,Phryganeidae sp.
RHASET,speciesGroup,Rhabdomastix setigera gr.
TAESP,family,Taeniopterygidae sp.
SPESP4,genus,Sperchon sp.
NEMSP5,family,Nemouridae sp.
PLESP,order,Plecoptera sp.
DICATR,species,Dicosmoecus atripes
ZAPORE,speciesGroup,Zapada oregonensis gr.
AMESP2,genus,Ameletus sp.
HEPSP,family,Heptageniidae sp.
MACSP13,genus,Macropelopia sp.
SIPCOL,species,Siphlonurus columbianus
ATUSP1,genus,Aturus sp.
EPHSP1,family,Ephemerellidae sp.
PARSP29,genus,Parorthocladius sp.
HESPAC,species,Hesperoperla pacifica
ZAPCIN,species,Zapada cinctipes
PERSP19,speciesGroup,Pericoma/Telmatoscopus sp.
PAGSP4,genus,Pagastia sp.
ISOSP9,genus,Isoperla sp.
HETCOR,species,Heterlimnius corpulentus
POLCOR,species,Polycelis coronata
NEOALI,species,Neothremma alicia
BRISP,genus,Brillia sp.
SWESP,genus,Sweltsa sp.
CINSP1,genus,Cinygmula sp.
DICSP6,genus,Dicranota sp.
ELMSP,family,Elmidae sp.
ZAPSP,genus,Zapada sp.
ATUSP,family,Aturidae sp.
PERSP2,family,Perlodidae sp.
CHLSP,family,Chloroperlidae sp.
BRASP5,family,Brachycentridae sp.
PERSP1,family,Perlidae sp.
AMNLIM,species,Amnicola limosa
FELSP1,genus,Feltria sp.
ATRSP3,genus,Atractides sp.
SERMIC,species,Serratella micheneri
BAETRI,species,Baetis tricaudatus
ORTSYM,subgenus,Orthocladius (Symposiocladius) sp.
CAPSP13,speciesGroup,Capniidae/Leuctridae sp.
BILSP,genus,Bilyjomyia sp.
HELSP10,genus,Heleniella sp.
EISTET,species,Eiseniella tetraedra
LUMSP4,family,Lumbricidae sp.
CHISP5,subfamily,Chironominae sp.
STESP10,genus,Stempellinella sp.
CLISP11,speciesGroup,Clinocera/Trichoclinocera sp.
PROSP24,genus,Prodiamesa sp.
RHYBRU1,speciesGroup,Rhyacophila brunnea gr.
LEUSP2,family,Leuctridae sp.
MERCHA,species,Meringodixa chalonensis
HELSP22,speciesGroup,Helodon/Prosimulium sp.
PARSP14,genus,Paraleptophlebia sp.
CHESP17,speciesGroup,Chelifera/Metachela sp.
POLSP17,genus,Polycelis sp.
HETMAR,speciesGroup,Heterotrissocladius marcidus gr.
BILALG,species,Bilyjomyia algens
LUMSP1,suborder,Lumbricina sp.
NEOSP14,genus,Neothremma sp.
RHYVER,speciesGroup,Rhyacophila verrula gr.
RHYBRU,speciesGroup,Rhyacophila brunnea/vemna gr.
KRESP1,genus,Krenosmittia sp.
BAEBIC,species,Baetis bicaudatus
SIPSP3,family,Siphlonuridae sp.
HETSP13,genus,Heterotanytarsus sp.
TOKSP,genus,Tokunagaia sp.
EUKGRA,speciesGroup,Eukiefferiella gracei gr.
EPHTIB,species,Ephemerella tibialis
EUKDEV,speciesGroup,Eukiefferiella devonica gr.
CLISP2,genus,Clinocera sp.
POLEPL,species,Polypedilum epleri
EPESP,genus,Epeorus sp.
NEOSP30,genus,Neoplasta sp.
STISP1,genus,Stilocladius sp.
STYSP11,genus,Stygothrombium sp.
CHASP12,genus,Chaetocladius sp.
PSESP15,genus,Pseudodiamesa sp.
OPTSP,genus,Optioservus sp.
OSTSP,class,Ostracoda sp.
MALSP4,genus,Malenka sp.
DRUCOL,speciesGroup,Drunella coloradensis/flavilinea
KOGSP,genus,Kogotus sp.
ORESP3,genus,Oreogeton sp.
EUKCLA,speciesGroup,Eukiefferiella claripennis gr.
HYDSP15,family,Hydryphantidae sp.
HELSP20,genus,Helodon sp.
EUKBRE,speciesGroup,Eukiefferiella brehmi gr.
TESSP1,genus,Testudacarus sp.
CORSP1,superfamily,Corbiculoidea sp.
EPHSP4,genus,Ephemerella sp.
PARSP17,genus,Paraleuctra sp.
MACSP10,tribe,Macropelopiini sp.
BORGRI,species,Boreonectes griseostriatus
RHYSP3,genus,Rhyacophila sp.
CULSP1,genus,Cultus sp.
PROSP21,genus,Prosimulium sp.
ESTSP1,genus,Estelloxus sp.
EUKBRE1,speciesGroup,Eukiefferiella brevicalcar gr.
DRUSP,genus,Drunella sp.
PSITRI,species,Psilometriocnemus triannulatus
